config,workload,rep,seconds
base,comp,11,0.3796
oracle,decomp,11,0.1602
base,decomp,11,0.1601
oracle,comp,11,0.3781
base,decomp,12,0.1508
oracle,comp,12,0.3740
base2x,decomp,12,0.1615
oracle,decomp,12,0.1587
base2x,comp,12,0.3866
base,comp,12,0.3809
base,comp,13,0.3788
base,decomp,13,0.1509
oracle,comp,13,0.3785
base2x,decomp,13,0.1524
oracle,decomp,13,0.1596
base2x,comp,13,0.3998
base2x,comp,14,0.4010
base,comp,14,0.4010
base,decomp,14,0.1599
oracle,comp,14,0.3762
base2x,decomp,14,0.1587
oracle,decomp,14,0.1514
oracle,decomp,15,0.1581
base,comp,15,0.4010
base2x,decomp,15,0.1617
base,decomp,15,0.1515
base2x,comp,15,0.3861
oracle,comp,15,0.3800
oracle,comp,16,0.3576
base2x,comp,16,0.3767
base2x,decomp,16,0.1613
base,decomp,16,0.1606
base,comp,16,0.4002
oracle,decomp,16,0.1547
base2x,comp,17,0.3755
oracle,comp,17,0.3783
oracle,decomp,17,0.1604
base2x,decomp,17,0.1580
base,comp,17,0.4021
base,decomp,17,0.1592
base,comp,18,0.3993
base,decomp,18,0.1602
oracle,decomp,18,0.1584
base2x,decomp,18,0.1595
oracle,comp,18,0.3783
base2x,comp,18,0.3988
base,comp,19,0.3990
oracle,comp,19,0.3796
base,decomp,19,0.1603
base2x,comp,19,0.3819
base2x,decomp,19,0.1559
oracle,decomp,19,0.1515
base,comp,20,0.4041
base2x,comp,20,0.4014
oracle,decomp,20,0.1594
base2x,decomp,20,0.1606
base,decomp,20,0.1587
oracle,comp,20,0.3792
base,decomp,21,0.1522
oracle,decomp,21,0.1593
base2x,comp,21,0.3987
base,comp,21,0.4001
base2x,decomp,21,0.1597
oracle,comp,21,0.3566
oracle,decomp,22,0.1585
base2x,decomp,22,0.1505
base,comp,22,0.3999
oracle,comp,22,0.3590
base2x,comp,22,0.3986
base,decomp,22,0.1589
base2x,decomp,23,0.1498
oracle,comp,23,0.3787
base2x,comp,23,0.4015
base,decomp,23,0.1592
base,comp,23,0.3991
oracle,decomp,23,0.1596
base2x,comp,24,0.3975
base,comp,24,0.4009
oracle,decomp,24,0.1554
oracle,comp,24,0.3764
base,decomp,24,0.1606
base2x,decomp,24,0.1508
base2x,decomp,25,0.1516
base,comp,25,0.3814
base,decomp,25,0.1606
oracle,comp,25,0.3552
oracle,decomp,25,0.1598
base2x,comp,25,0.4009
base2x,comp,26,0.3753
oracle,comp,26,0.3793
oracle,decomp,26,0.1589
base,comp,26,0.3903
base,decomp,26,0.1527
base2x,decomp,26,0.1585
oracle,comp,27,0.3571
base2x,decomp,27,0.1591
base,decomp,27,0.1591
oracle,decomp,27,0.1585
base,comp,27,0.3780
base2x,comp,27,0.3921
base,comp,28,0.3800
oracle,decomp,28,0.1526
base,decomp,28,0.1595
base2x,decomp,28,0.1601
oracle,comp,28,0.3793
base2x,comp,28,0.4004
oracle,comp,29,0.3584
base,decomp,29,0.1592
base,comp,29,0.3914
base2x,decomp,29,0.1621
oracle,decomp,29,0.1589
base2x,comp,29,0.3989
base,comp,30,0.3808
base2x,comp,30,0.3871
base2x,decomp,30,0.1615
oracle,comp,30,0.3757
oracle,decomp,30,0.1609
base,decomp,30,0.1580
